z,ton_total,USD_env,USD_neto
3115.0,13300200.0,56378190.26335733,-58566638.40354474
3125.0,12933000.0,55044149.808786,-65630189.8546803
3135.0,12741300.0,53198500.06521185,-72399590.85545368
3145.0,12468600.0,50730745.50784515,-79796136.28491092
3155.0,12020400.0,47735566.88398165,-87921890.51610091
3165.0,11607300.0,44304900.45092541,-97534773.82769907
3175.0,10994400.0,40750262.40069501,-108070923.41059192
3185.0,10378800.0,36870304.62286076,-119087744.2485115
3195.0,9884700.0,33245398.832852516,-131458967.31802887
3205.0,9431100.0,30001504.85480831,-141886617.6789412
3215.0,8880300.0,27155656.317255393,-151325212.0933662
3225.0,8513100.0,25205986.45650293,-161936624.00184792
3235.0,8262000.0,23922651.307970565,-170475429.20347005
3245.0,7862400.0,23384434.624931306,-178102703.93237257
3255.0,7654500.0,23400662.616054047,-185045686.26900786
3265.0,7508700.0,23555311.11138012,-192471462.08428943
3275.0,7287300.0,23798793.152968146,-199259815.89740524
3285.0,7227900.0,24088012.296911057,-206943549.32183987
3295.0,6817500.0,24390329.52541876,-214835580.85380977
3305.0,6720300.0,24629630.322861504,-222517871.36810187
3315.0,6307200.0,24755758.225671303,-230718294.75210887
3325.0,5886000.0,24686476.46009958,-240564887.2532586
3335.0,5429700.0,24514824.562007904,-250302171.4647352
3345.0,4986900.0,23660406.404293813,-260773061.1120454
3355.0,4590000.0,22309916.521016482,-271859441.32357275
3365.0,4098600.0,20462640.07723349,-285014270.7627048
3375.0,3607200.0,18168286.482882276,-297956154.5792495
3385.0,3064500.0,15513646.290653937,-310415651.7748259
3395.0,2543400.0,12506663.538125087,-324703049.8911896
3405.0,2070900.0,9663586.487316912,-337818266.363144
3415.0,1633500.0,7183363.903040822,-349345006.2955151
3425.0,1277100.0,5275726.585802848,-361535396.5090472
3435.0,969300.0,3949796.13515851,-371062016.38880885
3445.0,734400.0,2771796.391053841,-380280916.11702824
3455.0,531900.0,1829738.4273926022,-389248455.4228617
3465.0,415800.0,1385235.0880534702,-398790885.3647256
3475.0,359100.0,1291303.195804338,-406278490.2002693
3485.0,315900.0,1216697.4236536357,-412145112.65286696
3495.0,275400.0,1124610.295516363,-418343261.22649115
3505.0,243000.0,1038188.2629027268,-423911875.141745
3515.0,237600.0,1001448.5798781813,-430291191.79385215
3525.0,191700.0,936660.1761818178,-439850865.49635637
3535.0,135000.0,658820.3870372724,-449615594.5184629
3545.0,83700.0,405863.0876699998,-459877722.8518342
3555.0,89100.0,271199.00678876025,-470503319.0478221
3565.0,64800.0,170235.57343983464,-481188332.31995505
3575.0,37800.0,41670.147010909044,-490424753.6662386
3585.0,24300.0,15157.89981409091,-499363305.9330535
3595.0,21600.0,14052.296217272728,-511180748.2747215
3605.0,18900.0,13268.667350454543,-518570923.05886865
3615.0,16200.0,12485.038483636363,-528606657.1649746
3625.0,13500.0,13633.257996818174,-541798743.9766525
3635.0,10800.0,14781.47750999999,-552554187.4437995
3645.0,8100.0,11971.538639999992,-562310981.1555712
3655.0,5400.0,9161.599769999992,-570928375.081189
3665.0,2700.0,4580.799884999996,-585833404.7097415
3675.0,0.0,0.0,-595847126.9989218
3685.0,0.0,0.0,-605256504.5341749
3695.0,0.0,0.0,-616939259.165379
3705.0,0.0,0.0,-624533613.5010371
3715.0,0.0,0.0,-632046289.4274932
3725.0,0.0,0.0,-644249530.9356663
3735.0,35100.0,22950.287825578427,-649689392.2424378
3745.0,32400.0,79578.67031665282,-657284026.9452726
3755.0,29700.0,115571.39965772719,-665366674.2227561
3765.0,48600.0,138338.32154318172,-679125122.256721
3775.0,43200.0,176856.9176945454,-689934323.6504633
3785.0,89100.0,231786.50226545433,-698137884.6854765
3795.0,97200.0,322603.25989499985,-713929410.4625525
3805.0,116100.0,413873.6195495452,-724886663.3694521
3815.0,99900.0,482676.54641181795,-737926566.7266209
3825.0,70200.0,437855.77970999974,-754306667.6773899
3835.0,45900.0,325794.14014499984,-764554068.2673358
3845.0,24300.0,147478.85986499995,-774330381.243543
3855.0,10800.0,25406.64359999999,-783110320.7997057
3865.0,2700.0,2809.9388699999986,-774303268.1622036
3875.0,0.0,0.0,-761163508.2780528
3885.0,0.0,0.0,-748088964.2424163
3895.0,0.0,0.0,-740121752.5861369
3905.0,0.0,0.0,-725228258.8799585
3915.0,0.0,0.0,-707533005.7676284
3925.0,0.0,0.0,-697860190.1895602
3935.0,0.0,0.0,-681548111.7458022
3945.0,0.0,0.0,-665249769.1165588
3955.0,0.0,0.0,-646728690.7360015
3965.0,0.0,0.0,-632400690.1864827
3975.0,0.0,0.0,-613804008.870588
3985.0,0.0,0.0,-595319843.0876131
3995.0,0.0,0.0,-578931775.8710314
4005.0,0.0,0.0,-560394615.9745417
4015.0,0.0,0.0,-543736972.4050692
4025.0,0.0,0.0,-528940005.33349967
4035.0,0.0,0.0,-509458903.33993995
4045.0,0.0,0.0,-487723199.0941279
4055.0,0.0,0.0,-468006470.1390682
4065.0,0.0,0.0,-450670488.66175497
4075.0,0.0,0.0,-429229717.5760322
4085.0,5400.0,10932.460784999988,-405703307.79523224
4095.0,5400.0,14474.182814999982,-389530782.0047741
4105.0,5400.0,307.29469500000585,-368859047.56165636
4115.0,2700.0,1039.0778550000014,-347745241.8142486
4125.0,0.0,0.0,-328827995.05640316
4135.0,0.0,0.0,-307183091.99186045
4145.0,0.0,0.0,-284910499.19118273
4155.0,0.0,0.0,-262087329.60220498
4165.0,0.0,0.0,-236533283.95923
4175.0,0.0,0.0,-210713609.164005
4185.0,0.0,0.0,-184856746.28746498
4195.0,0.0,0.0,-159104364.21081
4205.0,0.0,0.0,-132877391.382135
4215.0,0.0,0.0,-106429060.926585
4225.0,0.0,0.0,-80014376.83032
4235.0,0.0,0.0,-53551879.48665
4245.0,0.0,0.0,-26806044.38058
