x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24585,3075,0.51,0,1.0,-8714.625668181818,-78633.81010636369
24255,24585,3085,0.51,0,1.0,-8714.625668181818,-87348.4357745455
24255,24585,3095,0.52,0,1.0,-7104.75201818182,-94453.18779272733
24255,24585,3105,0.54,0,1.0,-3885.004718181826,-98338.19251090915
24255,24585,3115,0.54,0,2.0,-3531.822471074387,-101870.01498198354
24255,24585,3125,0.52,0,2.0,-6458.865471074381,-108328.88045305792
24255,24585,3135,0.51,0,2.0,-7922.386971074378,-116251.2674241323
24255,24585,3145,0.51,0,2.0,-7922.386971074378,-124173.65439520667
24255,24585,3155,0.51,0,2.0,-7922.386971074378,-132096.04136628105
24255,24585,3165,0.5,0,2.0,-9385.908471074375,-141481.9498373554
24255,24585,3175,0.5,0,3.0,-8532.644064613067,-150014.59390196847
24255,24585,3185,0.5,0,3.0,-8532.644064613067,-158547.23796658154
24255,24585,3195,0.5,0,3.0,-8532.644064613067,-167079.8820311946
24255,24585,3205,0.5,0,3.0,-8532.644064613067,-175612.52609580767
24255,24585,3215,0.5,0,3.0,-8532.644064613067,-184145.17016042073
24255,24585,3225,0.5,0,3.0,-8532.644064613067,-192677.8142250338
24255,24585,3235,0.5,0,3.0,-8532.644064613067,-201210.45828964686
24255,24585,3245,0.52,0,4.0,-5337.905347995355,-206548.3636376422
24255,24585,3255,0.47,0,4.0,-11385.514852127595,-217933.8784897698
24255,24585,3265,0.48,0,4.0,-10175.992951301145,-228109.87144107092
24255,24585,3275,0.46,0,4.0,-12595.036752954033,-240704.90819402496
24255,24585,3285,0.47,0,4.0,-11385.514852127595,-252090.42304615254
24255,24585,3295,0.45,0,4.0,-13804.558653780477,-265894.981699933
24255,24585,3305,0.42,0,4.0,-17433.12435625982,-283328.10605619283
24255,24585,3315,0.4,0,5.0,-18047.42559810246,-301375.5316542953
24255,24585,3325,0.4,0,5.0,-18047.42559810246,-319422.9572523977
24255,24585,3335,0.41,0,5.0,-16947.86023371479,-336370.81748611253
24255,24585,3345,0.4,0,5.0,-18047.42559810246,-354418.243084215
24255,24585,3355,0.4,0,5.0,-18047.42559810246,-372465.6686823174
24255,24585,3365,0.39,0,5.0,-19146.990962490137,-391612.6596448076
24255,24585,3375,0.38,0,5.0,-20246.55632687782,-411859.21597168536
24255,24585,3385,0.38,0,5.0,-20246.55632687782,-432105.77229856316
24255,24585,3395,0.34,0,5.0,-24644.817784428524,-456750.5900829917
24255,24585,3405,0.33,0,5.0,-25744.38314881621,-482494.97323180793
24255,24585,3415,0.29,0,5.0,-30142.644606366917,-512637.61783817486
24255,24595,3025,0.43,0,0.0,-23752.976355000006,-23752.976355000006
24255,24595,3035,0.44,0,0.0,-21982.115339999997,-45735.091695
24255,24595,3045,0.44,0,0.0,-21982.115339999997,-67717.207035
24255,24595,3055,0.46,0,0.0,-18440.393310000003,-86157.600345
24255,24595,3065,0.47,0,1.0,-15154.12026818183,-101311.72061318182
24255,24595,3075,0.48,0,1.0,-13544.246618181825,-114855.96723136365
24255,24595,3085,0.5,0,1.0,-10324.499318181814,-125180.46654954547
24255,24595,3095,0.53,0,1.0,-5494.878368181823,-130675.34491772729
24255,24595,3105,0.52,0,1.0,-7104.75201818182,-137780.0969359091
24255,24595,3115,0.51,0,2.0,-7922.386971074378,-145702.48390698349
24255,24595,3125,0.52,0,2.0,-6458.865471074381,-152161.34937805787
24255,24595,3135,0.53,0,2.0,-4995.343971074384,-157156.69334913226
24255,24595,3145,0.53,0,2.0,-4995.343971074384,-162152.03732020664
24255,24595,3155,0.53,0,2.0,-4995.343971074384,-167147.38129128102
24255,24595,3165,0.53,0,2.0,-4995.343971074384,-172142.7252623554
24255,24595,3175,0.53,0,3.0,-4541.221791885803,-176683.9470542412
24255,24595,3185,0.53,0,3.0,-4541.221791885803,-181225.168846127
24255,24595,3195,0.53,0,3.0,-4541.221791885803,-185766.3906380128
24255,24595,3205,0.5,0,3.0,-8532.644064613067,-194299.03470262585
24255,24595,3215,0.52,0,3.0,-5871.695882794891,-200170.73058542074
24255,24595,3225,0.53,0,3.0,-4541.221791885803,-204711.95237730653
24255,24595,3235,0.53,0,3.0,-4541.221791885803,-209253.17416919232
24255,24595,3245,0.48,0,4.0,-10175.992951301145,-219429.16712049348
24255,24595,3255,0.49,0,4.0,-8966.4710504747,-228395.6381709682
24255,24595,3265,0.49,0,4.0,-8966.4710504747,-237362.1092214429
24255,24595,3275,0.49,0,4.0,-8966.4710504747,-246328.5802719176
24255,24595,3285,0.49,0,4.0,-8966.4710504747,-255295.0513223923
24255,24595,3295,0.45,0,4.0,-13804.558653780477,-269099.6099761728
24255,24595,3305,0.42,0,4.0,-17433.12435625982,-286532.7343324326
24255,24595,3315,0.41,0,5.0,-16947.86023371479,-303480.5945661474
24255,24595,3325,0.41,0,5.0,-16947.86023371479,-320428.45479986223
24255,24595,3335,0.4,0,5.0,-18047.42559810246,-338475.8803979647
24255,24595,3345,0.39,0,5.0,-19146.990962490137,-357622.8713604548
24255,24595,3355,0.4,0,5.0,-18047.42559810246,-375670.2969585573
24255,24595,3365,0.39,0,5.0,-19146.990962490137,-394817.2879210474
24255,24595,3375,0.38,0,5.0,-20246.55632687782,-415063.8442479252
24255,24595,3385,0.4,0,5.0,-18047.42559810246,-433111.26984602766
24255,24595,3395,0.39,0,5.0,-19146.990962490137,-452258.2608085178
24255,24595,3405,0.4,0,5.0,-18047.42559810246,-470305.68640662025
24255,24595,3415,0.32,0,5.0,-26843.94851320389,-497149.63491982414
24255,24605,3025,0.44,0,0.0,-21982.115339999997,-21982.115339999997
24255,24605,3035,0.44,0,0.0,-21982.115339999997,-43964.23067999999
24255,24605,3045,0.45,0,0.0,-20211.254325,-64175.485004999995
24255,24605,3055,0.46,0,0.0,-18440.393310000003,-82615.878315
24255,24605,3065,0.47,0,1.0,-15154.12026818183,-97769.99858318182
24255,24605,3075,0.48,0,1.0,-13544.246618181825,-111314.24520136365
